'15',,,'nl','04-10-2018 00:38:45','04-10-2018 00:38:45',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'16',,,'nl','04-10-2018 00:38:51','04-10-2018 00:38:51',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'17','04-10-2018 09:09:12','19','nl','04-10-2018 08:40:46','04-10-2018 09:09:12','1','22.00','1','6',,'39.0000000000','4','1','1','2',,'5','6','5','3','3','4','6','6','7','1','7','A4','A5','A5','A6','A4','A6','A1','A4','A5','A3','A5','A5','A5','6','5','5','5','3','3','A5','A6','A6','A6','A4','A5','A6','A6','A5','A6','A2','A1','A5','A1','A4','A6','A6','A5','A6','A2','A2','A3','A2','A1','A1','A5','A4','A1','A2','A1','A4','A1','A1','A1','A1','A5','A1','A2','A1','A5','A3','A2','A2','A5','A5','A1','A2','A3','A4','A7','A7','A7','A7','A4','4','2','3','4','1','2','2','3','1','4','5','4','3','5','3','5','3',,
'18',,'13','nl','04-10-2018 08:42:51','04-10-2018 09:14:19','1','22u30','1','4','3','19.0000000000','2','1','1','2','1','3','4','3','5','1','4','1','3','4','5','3','A5','A3','A4','A5','A3','A5','A3','A5','A3','A5','A3','A5','A3','5','4','4','5','4','4','A4','A2','A5','A2','A6','A3','A5','A3','A5','A3','A6','A4','A4','A3','A5','A4','A4','A3','A5',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'19','04-10-2018 17:58:36','19','nl','04-10-2018 17:55:57','04-10-2018 17:58:36','1','2245','2','7','6','18.0000000000','4','2','1','2','1','4','3','3','5','6','6','6','5','6','4','3',,'A2','A3','A1',,,'A2','A1','A3','A4','A5','A6','A7','6','5','7','6','5','6','A1','A2','A3','A2','A3','A6','A5','A7','A6','A7','A6','A7','A7','A6','A7','A6','A5','A6','A6',,'A6','A5','A4','A5','A3',,'A5','A7','A1','A2','A3','A5','A1','A1','A4','A4','A6','A4','A4','A5',,'A7','A6','A4','A2',,'A3','A3',,'A2','A4','A2',,'A4','2','1','6','5','5','1','1','4','6','5','5','6','4','5','4','3','4',,
'20',,,'nl','04-10-2018 21:43:47','04-10-2018 21:43:47',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'21',,,'nl','04-10-2018 22:28:00','04-10-2018 22:28:00',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22','05-10-2018 07:38:12','19','nl','05-10-2018 06:56:33','05-10-2018 07:38:12','1','22.00','1','3','4','39.0000000000','4','1','1','2','1','5','6','5','3','3','2','4','5','5','1','1','A2','A2','A4','A4','A2','A5','A1','A2','A2','A2','A2','A2','A3','4','4','2','4','2','4','A6','A6','A4','A4','A3','A4','A7','A6','A4','A6','A3','A3','A4','A2','A4','A6','A6','A6','A6','A2','A2','A3','A2','A1','A1','A5','A3','A1','A2','A1','A4','A1','A1','A2','A1','A1','A1','A6','A2','A5','A2','A6','A1','A6','A6','A7','A5','A5','A5','A6','A6','A5','A5','A1','3','2','2','5','5','2','2','5','2','6','6','4','6','6','6','7','4',,
'23',,'4','nl','05-10-2018 11:17:14','05-10-2018 11:29:04','1','22.30','1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'24','05-10-2018 12:08:16','19','nl','05-10-2018 11:47:49','05-10-2018 12:08:16','1','22.15','1','4','3','39.0000000000','4','1','2','2','1','5','6','4','1','1','3','6','6','4','2','1','A4','A5','A5','A5','A4','A5',,'A5','A3','A2','A4','A4','A5','5','3','3','5','2','4','A6','A6','A4','A5','A4','A5','A6','A6','A5','A6','A2','A1','A6','A4','A5','A6','A7','A5','A6','A2','A2','A3','A1','A1','A1','A6','A5','A5','A5','A4','A5','A1','A1','A1','A1','A1','A1','A1','A1','A4','A2','A2','A1','A4','A4','A5','A3','A3','A5','A5','A5','A5','A5','A3','4','2','1','4','3','1','1','4','2','4','6','3','6','6','3','5','2',,
